sku_id,cate,brand,type_1,type_2,type_3,type_4,type_5,type_6,type_all
45656,9,640,48363,1345,665,118,224,73607,124322
55528,4,159,21430,545,243,31,79,35337,57665
8753,4,36,7543,262,141,19,55,13674,21694
31998,9,640,1882,90,31,6,12,2931,4952
1286,6,51,3187,94,26,11,11,5054,8383
26190,5,78,267,6,4,0,1,461,739
130017,4,658,4752,189,75,12,22,8123,13173
10677,4,800,22491,527,312,33,79,34845,58287
88975,8,214,1005,22,7,0,3,1570,2607
121196,6,489,5835,115,67,12,27,8475,14531
102166,6,375,15063,521,255,41,86,22560,38526
117175,9,640,181,1,0,0,2,275,459
170981,4,453,949,19,6,2,3,1513,2492
131473,5,489,148,1,0,0,0,214,363
78551,9,640,1699,2,1,0,13,3316,5031
42199,8,545,24623,1124,436,87,160,42227,68657
85518,4,200,7582,223,112,18,46,14180,22161
62330,4,200,8547,220,119,19,39,13245,22189
163680,4,306,24635,812,414,120,125,38115,64221
17529,7,693,3358,181,78,37,17,5552,9223
70491,6,306,44944,1507,702,164,339,66527,114183
105352,6,306,12019,349,130,11,78,19580,32167
107659,5,78,58,1,0,0,0,82,141
90621,8,306,7787,319,139,13,43,13069,21370
165190,4,800,72075,1867,862,143,333,116137,191417
22962,4,885,58377,1455,595,181,342,95213,156163
134176,7,587,3281,86,29,7,21,5490,8914
113675,4,453,34570,1004,529,33,191,51549,87876
126641,4,453,12947,379,211,29,72,19596,33234
71596,6,570,178,4,4,0,1,259,446
52283,4,306,7160,286,143,25,34,12159,19807
120803,4,375,5212,162,142,9,37,8556,14118
78894,4,375,9308,227,117,10,38,14888,24588
140511,8,214,192,0,0,0,0,279,471
117929,5,427,829,74,27,13,4,1534,2481
20308,8,306,24185,1037,400,91,161,38940,64814
42214,5,78,133,2,1,0,1,186,323
167985,8,214,4407,62,30,0,24,6481,11004
106895,5,800,1825,85,51,6,9,3067,5043
64167,4,752,4395,121,86,5,22,8543,13172
167890,9,4,115,5,4,0,0,169,293
94577,7,157,2311,46,27,6,7,3694,6091
112258,6,78,1112,10,11,0,5,1569,2707
32216,4,800,784,12,8,0,3,1309,2116
79122,6,51,5057,162,75,18,37,7449,12798
97289,4,658,1755,39,22,0,9,2940,4765
77571,8,489,26377,802,301,27,193,40776,68476
169331,7,587,1490,35,15,2,3,2312,3857
34608,5,78,52,0,0,0,0,81,133
37546,6,489,16591,715,300,90,111,23876,41683
83325,4,453,23617,620,261,27,145,34168,58838
133005,4,800,2675,120,56,11,18,5032,7912
134683,6,800,6507,278,102,24,47,10148,17106
55092,8,306,5687,137,51,4,31,10240,16150
75750,8,812,1712,35,12,1,6,2951,4717
24048,4,36,15670,538,240,45,97,25899,42489
155223,9,640,11926,307,125,27,58,18899,31342
124685,5,78,114,1,1,0,1,168,285
6533,8,214,52582,1615,689,35,309,79351,134581
114568,5,479,36657,1391,601,111,253,56075,95088
27203,7,489,356,6,5,0,0,548,915
98253,8,306,5678,111,45,3,29,9059,14925
105243,9,374,161,4,1,1,1,268,436
145586,9,630,678,0,0,0,4,2093,2775
113475,4,427,762,14,13,1,2,1188,1980
46136,6,200,158,3,3,0,0,187,351
20819,6,306,35707,1052,501,61,260,54574,92155
161168,9,374,54,3,2,0,0,94,153
17470,8,30,7853,313,121,29,57,13336,21709
60770,4,658,602,11,3,1,0,1009,1626
32465,8,489,107159,3873,1370,229,644,170981,284256
118238,7,306,7549,284,134,54,46,13281,21348
79080,6,269,20307,646,323,37,116,29996,51425
60755,6,489,20001,663,330,33,154,29838,51019
163550,4,306,17206,615,281,82,83,29866,48133
132879,5,159,881,22,4,2,5,1420,2334
152872,8,306,22238,758,301,26,136,36111,59570
73398,8,306,14600,623,213,34,110,25777,41357
126146,8,800,31732,1403,487,156,245,45969,79992
46906,5,489,15551,562,280,47,139,25457,42036
81462,8,489,48380,1199,509,46,319,71076,121529
163287,5,78,467,9,1,1,4,720,1202
37057,6,489,27749,959,379,43,201,42623,71954
7196,6,235,13430,704,354,91,91,20591,35261
122222,5,78,138,3,0,0,0,169,310
55456,7,587,7068,155,85,16,24,11277,18625
47290,8,403,58,0,0,0,0,77,135
39533,9,489,691,26,10,0,2,1042,1771
63006,8,214,194471,6296,2190,420,1205,311101,515683
62400,6,159,6178,162,84,4,40,9329,15797
95976,5,225,18368,633,278,62,133,29633,49107
101664,8,693,19134,384,187,17,86,28033,47841
83276,7,157,839,9,6,1,5,1083,1943
40454,9,95,89,1,1,0,0,112,203
18585,5,159,14414,620,284,66,93,22704,38181
100202,7,157,387,13,7,2,1,584,994
10321,8,214,910,48,13,1,6,1466,2444
170626,6,78,32872,994,474,78,188,47443,82049
57018,8,545,77007,3562,1187,307,571,119543,202177
123016,8,693,5145,176,75,16,40,8016,13468
40623,7,489,5822,164,66,16,49,10139,16256
105971,5,479,19832,755,333,125,145,30029,51219
139840,4,36,13499,484,202,61,76,20963,35285
36159,9,374,40,0,2,0,0,67,109
142606,4,174,8214,170,72,14,41,12618,21129
59252,4,174,11882,293,116,10,53,19372,31726
53658,8,306,460,2,2,0,4,564,1032
86551,5,479,13186,436,208,50,78,22439,36397
28443,6,165,12793,377,174,21,69,20098,33532
152762,4,174,1111,39,18,1,3,1790,2962
122369,6,235,12984,525,256,64,78,21336,35243
133121,5,306,6596,130,61,6,41,10399,17233
109287,4,375,891,24,14,0,1,1598,2528
124758,4,375,2673,111,60,11,12,5187,8054
45980,6,78,40912,1475,581,57,249,58132,101406
68615,8,403,15580,563,208,22,92,24347,40812
26229,9,640,30719,741,367,72,110,46657,78666
127313,8,306,494,0,0,0,4,618,1116
107012,8,306,42547,1445,598,49,227,64594,109460
52830,4,453,13742,483,239,21,94,21628,36207
58568,8,214,7063,143,46,5,45,10939,18241
136526,4,658,15157,410,279,78,59,23135,39118
93070,6,78,6257,109,41,4,31,10717,17159
102488,4,658,15059,437,243,25,74,23566,39404
25003,5,489,23919,943,382,101,173,36916,62434
77008,5,306,21842,748,373,112,138,33291,56504
1628,8,214,5633,62,27,0,17,9019,14758
167707,4,923,725,24,20,2,2,1177,1950
134817,6,124,3264,96,54,5,28,5543,8990
159184,6,124,7597,269,123,18,54,13030,21091
65174,6,269,3608,165,105,17,21,5343,9259
81163,6,306,25759,651,280,26,184,39372,66272
78508,4,885,24539,708,334,69,138,44774,70562
11809,5,479,700,9,5,1,7,1138,1860
23077,4,675,198,1,1,0,0,350,550
18412,8,214,75100,2688,1012,191,425,126310,205726
37578,5,78,22554,759,374,66,127,33059,56939
129413,4,519,120,0,0,0,3,148,271
26466,4,752,2901,45,15,2,24,4792,7779
147652,4,658,12682,422,205,47,61,20291,33708
135272,4,519,116736,2870,1144,456,502,184305,306013
160070,9,640,5822,139,58,8,30,8240,14297
168043,6,269,10930,393,198,34,76,16488,28119
20529,10,66,269,4,2,1,1,501,778
51752,6,71,1892,43,30,1,8,2779,4753
50763,9,306,401,0,0,0,4,1120,1525
103234,8,214,32942,574,248,21,160,54212,88157
83690,9,306,1099,0,0,0,6,2508,3613
1914,6,306,7463,233,152,10,69,11635,19562
10018,11,545,360,24,0,0,1,477,862
128286,6,174,2969,113,57,9,13,4288,7449
126109,6,174,643,16,15,1,4,948,1627
16579,9,640,16152,444,175,43,83,23568,40465
142831,9,78,2695,85,46,6,16,3860,6708
87057,7,216,8845,243,81,35,46,17340,26590
79520,8,489,49675,2098,840,172,337,79566,132688
2866,9,630,8680,35,14,0,80,13594,22403
48780,9,489,131,5,3,0,1,224,364
62655,4,581,12028,422,233,57,68,19567,32375
126655,5,489,293,5,5,0,3,479,785
16146,7,56,1845,40,19,6,11,2726,4647
8218,7,24,3219,70,35,13,9,4703,8049
155721,7,741,4290,108,43,10,20,7074,11545
12564,8,214,194920,6035,2258,359,1183,312005,516760
168573,5,124,27511,1099,460,130,132,39045,68377
124470,7,157,20605,677,286,98,110,31219,52995
99993,7,741,3872,150,71,19,21,6206,10339
70411,4,231,18847,463,190,46,111,32933,52590
21183,4,174,658,18,11,1,4,1182,1874
157909,9,630,9680,344,178,17,71,15400,25690
140996,7,842,1872,54,25,1,11,3208,5171
7431,8,244,622,39,13,0,1,1277,1952
72967,4,519,98130,1899,622,349,450,168230,269680
2448,6,174,1690,109,46,11,8,2413,4277
43062,8,306,12198,369,176,17,62,19605,32427
122461,4,36,8985,240,100,8,54,14672,24059
93490,8,812,1039,54,17,3,8,1711,2832
49758,5,479,20956,969,433,158,126,31919,54561
124500,7,38,10136,293,152,27,52,15869,26529
48895,8,489,32948,836,342,31,206,50963,85326
2378,7,306,9719,390,168,57,35,16778,27147
137196,4,581,6919,286,143,39,43,11899,19329
135859,7,587,18997,511,325,63,73,29458,49427
82752,6,78,209,4,2,0,2,411,628
136856,5,174,79,0,0,0,1,120,200
40336,8,545,32996,1216,388,121,251,55062,90034
129945,4,890,2265,76,53,9,13,3439,5855
153051,7,741,11550,315,137,38,65,17522,29627
165594,9,640,14187,475,236,37,79,21858,36872
153551,8,489,33260,935,346,52,222,52335,87150
107309,9,842,1880,149,98,14,4,2641,4786
152194,8,214,1161,19,12,2,5,2045,3244
84875,8,30,4,0,0,0,0,7,11
123578,8,214,4872,137,40,7,34,8091,13181
65914,4,200,32886,953,400,44,159,51494,85936
82103,4,174,5482,210,88,23,45,9570,15418
109349,9,842,13354,419,199,26,60,21425,35483
30971,7,489,2616,107,45,10,25,4306,7109
62351,8,306,16768,781,321,63,113,27609,45655
119632,4,800,1717,33,27,0,7,3380,5164
13891,4,174,570,33,17,3,6,979,1608
156,6,261,8436,195,72,18,44,12423,21188
139585,9,78,1846,68,27,1,11,3037,4990
153698,8,306,8832,401,173,30,66,15311,24813
149841,5,306,33907,1060,510,57,296,58050,93880
69015,9,65,301,5,1,0,0,475,782
131300,8,693,52298,2045,781,168,368,80820,136480
34547,5,479,8039,262,127,33,34,11743,20238
126623,5,479,7069,297,150,59,52,11472,19099
79616,4,36,17905,598,299,87,91,28031,47011
158354,7,214,1788,25,16,0,7,2597,4433
26372,8,489,9340,176,101,5,46,14863,24531
134183,7,842,843,21,18,0,6,1376,2264
49474,5,479,37528,1272,679,97,233,54168,93977
170198,10,66,77,1,0,0,0,168,246
108328,5,800,7287,372,150,89,50,12450,20398
84525,9,489,2941,174,82,17,17,5154,8385
168520,9,800,658,16,8,2,8,1575,2267
116421,8,214,1502,22,10,2,9,2150,3695
121984,9,640,30,1,0,0,0,48,79
160750,8,403,14583,429,186,16,83,22624,37921
152478,8,306,62185,2194,920,154,336,99604,165393
51429,8,244,2261,88,33,2,5,3538,5927
95309,4,658,5270,111,74,4,23,9479,14961
113202,8,214,2985,28,14,1,21,4745,7794
39425,8,214,28909,757,384,37,195,53217,83499
13915,8,214,566,2,1,0,1,901,1471
51358,4,519,1936,54,26,4,11,2965,4996
151484,7,489,923,48,17,5,6,1545,2544
81330,9,640,8365,228,120,16,40,14532,23301
108399,8,403,12404,428,165,18,71,18329,31415
47193,8,403,31835,1061,419,52,179,48333,81879
77109,4,174,3028,122,63,13,21,5204,8451
123453,8,214,105,0,0,0,0,172,277
75679,11,693,448,25,0,1,0,476,950
19233,8,857,1052,22,9,2,6,1591,2682
168230,8,214,3886,28,23,2,20,5735,9694
128026,7,842,139,4,1,1,1,211,357
96306,4,174,6653,183,125,13,36,9661,16671
10628,7,306,5784,236,113,22,31,10365,16551
39139,7,306,19677,571,257,63,113,32193,52874
162658,8,306,5436,132,70,2,38,10134,15812
97909,4,200,642,19,9,1,5,965,1641
139087,5,306,4412,113,72,4,30,6753,11384
170400,5,78,40020,1470,609,131,282,57469,99981
134084,8,693,17337,772,310,62,122,28506,47109
8875,4,36,3565,139,59,20,21,6518,10322
149400,7,489,3742,112,54,15,27,7107,11057
64151,5,306,10115,363,221,47,69,14384,25199
112819,4,174,2668,113,64,10,14,5045,7914
151743,4,658,7197,267,137,24,24,11987,19636
127838,5,78,15350,437,181,23,90,22502,38583
109728,8,489,29543,784,320,32,234,46077,76990
9702,8,693,22304,861,343,65,163,34637,58373
28870,6,263,2093,56,29,3,12,2939,5132
51938,4,885,384,0,0,0,1,514,899
133124,4,174,502,2,2,0,1,817,1324
50922,4,174,5058,174,102,5,30,9028,14397
85246,5,200,11245,310,151,18,87,16170,27981
140908,5,78,137,3,2,0,0,233,375
77743,5,78,3855,77,43,2,12,5961,9950
25685,9,145,633,6,4,0,2,828,1473
88448,9,341,1243,17,7,0,3,1718,2988
53785,4,174,9893,360,164,14,61,16383,26875
80462,8,30,8690,317,127,25,51,13672,22882
43873,4,174,11078,267,143,13,60,17830,29391
81708,8,489,26766,1179,462,77,203,43058,71745
128416,6,306,25026,666,275,31,163,39382,65543
88126,4,923,953,18,14,3,1,1404,2393
5888,4,519,27378,678,417,73,117,43117,71780
145460,6,78,2298,40,23,3,8,3329,5701
130947,5,78,2503,86,40,2,20,3465,6116
167184,8,489,1776,48,18,2,12,2567,4423
123263,8,214,3362,31,18,3,16,5654,9084
99415,5,479,10390,447,147,114,70,15409,26577
155998,4,581,2209,98,47,3,10,4677,7044
14163,8,306,43031,1296,522,38,229,64038,109154
11487,5,404,3,0,0,0,0,4,7
98445,4,581,6428,167,109,18,31,11508,18261
45034,8,545,76,5,3,0,1,108,193
98634,4,581,26971,720,382,71,108,43707,71959
157601,7,80,38,3,1,1,1,57,101
102735,7,80,236,6,4,0,2,378,626
116441,7,80,1030,41,11,5,5,1381,2473
97474,4,658,182,0,2,0,2,295,481
58756,6,165,1356,47,29,5,2,2268,3707
87127,6,78,3856,117,76,2,27,5753,9831
140921,4,174,25181,918,397,64,146,41129,67835
97149,5,124,88,4,2,1,0,136,231
58789,7,56,1087,171,37,48,9,1424,2776
168828,7,306,3067,77,30,7,21,4901,8103
56550,6,124,18135,589,272,35,141,28992,48164
166876,8,693,16326,650,344,43,142,24587,42092
37957,8,489,55806,1414,545,49,349,86263,144426
107162,4,581,287,8,6,1,3,526,831
126906,8,403,15317,613,247,56,120,28090,44443
103594,4,800,17330,622,304,85,92,27496,45929
161251,9,630,7725,261,111,18,51,13188,21354
111778,4,306,43993,1091,436,126,232,76771,122649
144549,8,545,5182,227,74,12,38,8333,13866
46059,4,174,3601,129,74,10,18,6225,10057
24979,7,842,7617,326,191,26,31,11887,20078
145328,9,842,434,10,8,1,3,621,1077
124256,4,800,336,4,4,0,3,515,862
111981,5,800,735,26,13,6,2,1919,2701
63231,4,174,12128,374,172,62,45,19472,32253
166536,9,302,17,0,0,0,0,29,46
126394,8,545,5211,169,85,3,42,8676,14186
155792,4,453,7775,241,137,21,47,11872,20093
85687,6,306,537,8,4,0,4,1100,1653
79636,8,489,36832,1487,542,106,267,59583,98817
86227,6,124,16131,461,214,25,98,25819,42748
36240,8,489,658,8,5,0,3,1042,1716
125699,5,489,9726,547,162,96,74,14683,25288
86246,5,124,6337,181,81,15,55,9534,16203
45678,7,489,11205,306,146,47,59,17955,29718
47895,8,489,47823,1245,439,55,308,70820,120690
160926,9,800,12,0,0,0,0,35,47
92145,6,124,418,4,6,0,4,655,1087
83140,7,741,781,34,23,1,1,1861,2701
54357,6,489,53607,2280,1085,270,356,79110,136708
148782,7,489,2030,87,46,17,17,4651,6848
96959,9,489,10631,368,177,60,51,15633,26920
90402,7,38,12127,328,144,36,73,19736,32444
47408,4,658,28884,848,358,60,139,46278,76567
30916,7,508,5,0,0,0,0,7,12
39253,8,403,10116,315,153,14,59,17485,28142
94944,8,800,16896,450,189,19,88,26963,44605
151424,5,124,115,2,0,0,0,165,282
136405,9,640,3979,102,73,7,26,7862,12049
43855,8,489,1259,33,9,0,6,3492,4799
84397,6,159,1193,21,16,0,12,1567,2809
60861,8,489,21829,769,294,46,171,34372,57481
139435,4,519,29,1,1,0,1,63,95
160501,6,514,708,14,10,2,3,1044,1781
20591,8,214,311,6,2,0,1,465,785
140183,9,341,138,1,2,0,0,254,395
28796,7,587,706,26,13,2,1,1084,1832
24371,8,545,78902,2597,1034,124,457,112663,195777
45173,6,800,7803,365,135,78,54,12399,20834
92712,6,200,6449,198,98,4,32,9258,16039
107481,7,741,2296,79,32,14,11,3762,6194
129010,8,545,10023,354,226,17,64,17102,27786
69623,7,741,17470,616,261,95,108,26025,44575
148421,8,214,9225,173,51,13,65,14546,24073
134286,4,691,11125,360,177,41,59,19556,31318
104129,6,200,13987,437,181,27,99,21451,36182
103161,6,200,768,14,9,0,1,1033,1825
94106,9,78,254,5,2,0,1,384,646
115215,8,800,11226,434,196,30,71,19112,31069
25263,9,800,845,22,9,0,12,1765,2653
103132,8,545,26689,941,323,59,192,44323,72527
124286,7,741,9521,331,167,38,53,14747,24857
139695,9,640,795,9,7,0,8,1190,2009
118464,7,216,304,8,3,0,0,498,813
7434,4,306,6829,207,126,27,25,10315,17529
87901,6,489,9898,307,150,17,58,16064,26494
26043,6,200,414,6,6,0,2,658,1086
19823,5,238,290,11,6,1,2,489,799
38741,5,489,4598,127,61,18,22,7174,12000
123277,9,570,72,0,0,0,0,119,191
6699,9,367,1739,50,26,3,6,2818,4642
74499,4,174,2941,107,49,7,13,4745,7862
162128,4,658,1133,56,35,2,6,2003,3235
141167,8,427,3417,149,70,9,19,6460,10124
55143,8,427,2347,103,41,12,15,4293,6811
114550,5,78,4018,104,69,6,37,6327,10561
91393,8,244,6139,201,73,12,26,10398,16849
112031,6,269,11775,359,141,25,67,17140,29507
86604,6,693,10168,455,264,62,63,15936,26948
157031,6,200,836,18,10,2,4,1181,2051
93267,6,225,89,0,0,0,1,103,193
123980,5,124,1048,32,16,2,8,1986,3092
38955,8,214,2989,98,39,2,20,4723,7871
34697,8,214,5729,110,69,7,34,10916,16865
57161,8,489,32024,1195,478,54,211,49721,83683
63206,4,375,14278,408,213,27,81,23675,38682
15259,8,545,36190,1450,574,75,237,53664,92190
27255,9,374,177,6,4,0,2,316,505
149223,8,658,4026,158,52,13,24,6764,11037
146233,9,374,97,5,4,1,0,180,287
106971,4,36,7963,256,139,26,40,14158,22582
112244,6,232,50,1,1,0,1,87,140
72055,7,648,2718,48,26,5,12,4461,7270
92380,10,653,342,7,4,0,1,630,984
128567,8,306,19597,744,282,26,121,32401,53171
146593,7,489,8075,318,156,35,61,13798,22443
117452,8,677,2723,121,54,4,33,4984,7919
165997,6,235,1939,118,59,18,4,3378,5516
19590,7,630,856,28,19,2,3,1651,2559
28754,8,214,1194,14,8,0,8,2060,3284
81495,8,812,743,21,10,1,8,1127,1910
30479,7,216,18898,479,220,47,93,33568,53305
3448,8,885,575,7,3,1,4,969,1559
86521,8,403,321,1,0,0,1,664,987
28413,7,216,5527,142,83,5,16,9933,15706
20739,7,693,7952,299,142,60,41,13259,21753
102335,4,375,6767,244,142,34,39,12186,19412
58262,5,306,2549,74,35,11,12,3832,6513
73775,7,157,652,18,12,1,1,1146,1830
37427,6,489,38226,1344,636,69,234,58211,98720
103114,6,78,11578,419,175,33,64,16856,29125
112550,6,306,10623,469,224,61,62,16113,27552
59366,5,225,21489,820,348,74,159,37374,60264
23016,4,800,2272,66,30,1,11,3827,6207
165614,5,306,23249,796,297,104,186,38242,62874
901,8,214,1467,29,11,1,16,2404,3928
26249,4,212,375,5,3,0,2,589,974
140702,8,623,803,3,8,0,5,1130,1949
166707,8,489,50325,2129,738,160,315,77041,130708
499,8,214,3371,30,16,1,19,4955,8392
18133,4,800,307,11,11,1,0,456,786
7832,9,630,1657,36,21,0,10,2489,4213
52343,8,489,106721,4620,1683,245,702,168273,282244
88295,8,489,29473,1028,368,62,184,46131,77246
7881,8,885,6469,208,109,12,38,10849,17685
79460,4,200,799,7,7,0,3,1116,1932
5505,8,214,61126,2031,818,109,380,104047,168511
2677,8,427,3366,86,46,7,25,6182,9712
99425,7,489,27533,961,423,127,141,44424,73609
22705,10,752,0,0,0,0,8,2807,2815
14319,5,200,193,8,5,0,2,263,471
95850,8,800,8818,377,127,22,50,13819,23213
153807,6,885,3711,111,47,11,18,5788,9686
120509,7,216,1810,44,18,3,10,4185,6070
34851,5,489,4049,244,95,41,19,6301,10749
3882,8,489,1334,21,12,0,6,2000,3373
24520,8,214,2001,13,9,4,6,3113,5146
90456,5,479,10292,370,199,29,69,16870,27829
32876,4,885,21548,659,312,58,103,34643,57323
1041,9,367,191,0,0,0,1,350,542
122179,6,200,1722,19,17,0,10,2327,4095
160143,9,640,534,12,6,0,3,731,1286
29827,6,306,10203,344,178,42,52,16066,26885
52757,9,640,986,25,22,0,2,1477,2512
130992,4,36,760,15,5,2,0,1179,1961
166341,8,489,86,0,0,0,0,417,503
78285,6,306,12309,349,175,34,65,17988,30920
15598,4,658,1858,43,29,4,9,3132,5075
147622,4,36,6812,204,106,23,48,12285,19478
154636,8,545,145897,5779,2003,691,769,220151,375290
138310,5,489,1311,33,16,2,6,1971,3339
32361,8,885,738,21,11,0,4,5062,5836
55813,10,653,119,0,0,0,0,184,303
128193,8,489,385,2,0,0,0,1767,2154
10281,8,766,892,19,9,1,6,1443,2370
150957,8,677,1123,30,10,4,9,2069,3245
75906,4,752,2169,32,18,0,18,3956,6193
31448,5,375,619,25,18,2,3,852,1519
116470,4,36,11051,368,155,21,70,18788,30453
106487,4,800,7752,233,124,30,53,12851,21043
97025,8,885,31058,1319,513,79,200,49444,82613
93295,8,30,8595,255,112,6,58,13443,22469
72354,9,489,2718,177,103,16,7,4673,7694
164544,8,30,12866,409,173,30,85,22643,36206
118051,4,752,12621,236,103,16,96,27043,40115
19042,4,800,5387,145,74,9,35,9727,15377
78694,8,244,14106,436,148,33,86,22295,37104
141680,5,375,115,5,5,0,0,154,279
35464,5,489,19233,929,375,223,130,28953,49843
112332,8,214,17178,605,285,25,117,28215,46425
58639,5,375,398,27,20,6,2,645,1098
50986,4,306,10855,339,159,38,62,18757,30210
78335,8,30,6048,158,79,4,48,10214,16551
113494,4,159,14056,426,196,19,69,23066,37832
78327,4,885,9633,313,155,35,77,16847,27060
122720,8,124,364,0,0,0,2,631,997
104933,4,36,2497,86,30,13,12,5521,8159
80030,8,693,9638,228,109,7,61,16061,26104
122186,6,693,2779,254,139,11,20,3933,7136
54265,5,479,7166,136,93,8,31,13013,20447
137219,7,484,411,11,3,1,3,620,1049
61023,9,640,2877,94,39,7,21,7543,10581
52695,9,640,1706,0,0,0,8,4534,6248
54934,5,489,3363,171,67,41,12,4985,8639
49551,4,199,13370,363,179,48,41,21950,35951
75877,8,545,42300,1903,688,124,315,67124,112454
142240,4,519,1008,16,10,0,6,1317,2357
149462,6,165,2475,61,34,6,7,3795,6378
141243,9,842,25647,776,383,66,126,39211,66209
116746,8,214,3607,20,4,2,16,5678,9327
104937,6,269,4222,214,95,28,42,6581,11182
